name	median	min	max	runs	allocs
BenchmarkStatic/rooms16cells/grid8m/losmap/SweepAll	3236.0	3158.0	4269.0	3	0
BenchmarkStatic/rooms16cells/bvh2/proj/Sweep	230.1	222.0	239.3	3	0
BenchmarkStatic/rooms16cells/bvh2/proj/Blocked	246.4	238.3	252.8	3	0
BenchmarkStatic/rooms16cells/bvh2/proj/SweepAll	253.2	245.4	260.4	3	0
BenchmarkStatic/rooms16cells/bvh2/body/Sweep	280.8	273.4	283.8	3	0
BenchmarkStatic/rooms16cells/bvh2/body/Blocked	266.1	256.1	279.3	3	0
BenchmarkStatic/rooms16cells/bvh2/body/SweepAll	300.6	292.2	305.9	3	0
BenchmarkStatic/rooms16cells/bvh2/lospair/Sweep	261.7	253.1	272.3	3	0
BenchmarkStatic/rooms16cells/bvh2/lospair/Blocked	261.3	254.2	268.0	3	0
BenchmarkStatic/rooms16cells/bvh2/lospair/SweepAll	282.8	275.7	289.2	3	0
BenchmarkStatic/rooms16cells/bvh2/sight/Sweep	429.6	416.6	443.9	3	0
BenchmarkStatic/rooms16cells/bvh2/sight/Blocked	321.3	311.2	326.3	3	0
BenchmarkStatic/rooms16cells/bvh2/sight/SweepAll	531.3	512.5	544.8	3	0
BenchmarkStatic/rooms16cells/bvh2/losmap/Sweep	488.0	478.2	498.8	3	0
BenchmarkStatic/rooms16cells/bvh2/losmap/Blocked	313.2	303.2	315.9	3	0
BenchmarkStatic/rooms16cells/bvh2/losmap/SweepAll	4022.0	3878.0	4095.0	3	0
BenchmarkStatic/rooms16cells/bvh4/proj/Sweep	238.8	237.4	261.2	3	0
BenchmarkStatic/rooms16cells/bvh4/proj/Blocked	252.3	251.2	278.5	3	0
BenchmarkStatic/rooms16cells/bvh4/proj/SweepAll	257.9	254.2	262.5	3	0
BenchmarkStatic/rooms16cells/bvh4/body/Sweep	324.9	318.3	337.6	3	0
BenchmarkStatic/rooms16cells/bvh4/body/Blocked	299.2	295.6	310.3	3	0
BenchmarkStatic/rooms16cells/bvh4/body/SweepAll	343.4	336.2	355.0	3	0
